#
# Conversion factors from activity to Hp(0.07) taken from the Swiss STSV Anhang 3. The magnitude of the values
# has already been scaled to yield mSv/h!
#
# Z A Limit [Bq/(mSv/h)]
#
Tc	96	2.500000E+07
Tc	-96	3.333333E+08
Tc	97	2.500000E+08
Tc	-97	3.333333E+07
Tc	98	5.000000E+05
Tc	99	1.000000E+06
Tc	-99	3.333333E+06
Tc	101	1.000000E+06
Tc	104	1.000000E+06
Ru	94	5.000000E+07
Ru	97	1.000000E+07
Ru	103	2.000000E+06
Ru	105	1.000000E+06
Ru	106	1.000000E+06
Rh	99	1.000000E+07
Rh	-99	1.000000E+07
Rh	100	1.000000E+07
Rh	101	3.333333E+06
Rh	-101	5.000000E+06
Rh	102	2.000000E+07
Rh	-102	2.500000E+06
Rh	-103	1.000000E+09
Rh	105	1.000000E+06
Rh	-106	1.000000E+06
Rh	107	1.000000E+06
Pd	100	5.000000E+07
Pd	101	1.000000E+07
Pd	103	3.333333E+08
Pd	107	1.000000E+09
Pd	109	1.000000E+06
Ag	102	1.250000E+06
Ag	103	2.000000E+06
Ag	104	3.333333E+06
Ag	-104	2.500000E+06
Ag	105	2.000000E+07
Ag	106	1.428571E+06
Ag	-106	1.666667E+07
Ag	-108	1.000000E+07
Ag	108	1.000000E+07
Ag	-110	2.000000E+06
Ag	110	2.000000E+06
Ag	111	1.000000E+06
Ag	112	1.000000E+06
Ag	115	1.000000E+06
Cd	104	5.000000E+07
Cd	107	5.000000E+07
Cd	109	2.000000E+08
Cd	113	1.000000E+06
Cd	-113	1.000000E+06
Cd	115	1.000000E+06
Cd	-115	1.000000E+06
Cd	117	1.000000E+06
Cd	-117	1.000000E+06
In	109	3.333333E+06
In	110	1.428571E+06
In	111	2.500000E+06
In	112	1.111111E+06
In	-113	2.000000E+06
In	-114	3.333333E+05
In	114	3.333333E+05
In	115	1.000000E+06
In	-115	1.111111E+06
In	-116	1.000000E+06
In	117	5.000000E+05
In	-117	1.000000E+06
In	-119	1.000000E+06
In	119	1.000000E+06
Sn	110	1.428571E+07
Sn	111	2.500000E+06
Sn	113	2.500000E+08
Sn	-117	3.333333E+05
Sn	-119	1.000000E+09
Sn	121	1.000000E+06
Sn	-121	3.333333E+06
Sn	123	1.000000E+06
Sn	-123	5.000000E+05
Sn	125	1.000000E+06
Sn	126	1.000000E+06
Sn	127	1.000000E+06
Sn	128	1.000000E+06
Sb	115	2.500000E+06
Sb	116	2.000000E+06
Sb	-116	2.500000E+06
Sb	117	2.500000E+06
Sb	-118	5.000000E+06
Sb	119	3.333333E+08
Sb	120	2.000000E+06
Sb	122	1.000000E+06
Sb	124	1.000000E+06
Sb	-124	1.000000E+09
Sb	125	1.428571E+06
Sb	126	1.000000E+06
Sb	-126	1.000000E+06
Sb	127	1.000000E+06
Sb	128	1.000000E+06
Sb	129	1.000000E+06
Sb	130	5.000000E+05
Sb	131	1.000000E+06
Te	116	1.250000E+08
Te	121	5.000000E+07
Te	-121	5.000000E+06
Te	123	5.000000E+08
Te	-123	2.500000E+06
Te	-125	2.000000E+06
Te	127	1.000000E+06
Te	-127	2.500000E+07
Te	129	1.000000E+06
Te	-129	1.666667E+06
Te	131	5.000000E+05
Te	-131	5.000000E+05
Te	132	1.428571E+06
Te	133	1.000000E+06
Te	-133	1.000000E+06
Te	134	5.000000E+05
I	120	1.250000E+06
I	-120	1.250000E+06
I	121	2.500000E+06
I	123	2.500000E+06
I	124	3.333333E+06
I	125	2.500000E+08
I	126	1.428571E+06
I	128	1.000000E+06
I	129	1.000000E+07
I	130	1.000000E+06
I	131	1.000000E+06
I	132	1.000000E+06
I	-132	3.333333E+06
I	133	1.000000E+06
I	134	1.000000E+06
I	135	1.000000E+06
Xe	122	1.250000E+06
I	122	1.250000E+06
Xe	123	1.250000E+06
Xe	125	3.333333E+06
Xe	127	2.500000E+06
Xe	-129	3.333333E+05
Xe	-131	3.333333E+05
Xe	133	1.000000E+06
Xe	-133	5.000000E+05
Xe	135	5.000000E+05
Xe	-135	5.000000E+06
Xe	137	5.000000E+08
Xe	138	1.000000E+06
Cs	125	2.000000E+06
Cs	127	1.000000E+07
Cs	129	3.333333E+07
Cs	130	2.000000E+06
Cs	131	5.000000E+08
Cs	132	2.000000E+07
Cs	134	1.000000E+06
Cs	-134	1.000000E+06
Cs	135	1.666667E+06
Cs	-135	1.428571E+07
Cs	136	1.000000E+06
Cs	137	5.000000E+05
Ba	-137	5.000000E+05
Cs	138	1.000000E+06
Ba	126	1.111111E+06
Cs	126	1.111111E+06
Ba	128	1.428571E+06
Cs	128	1.428571E+06
Ba	131	3.333333E+06
Ba	-131	2.000000E+07
Ba	133	1.428571E+07
Ba	-133	5.000000E+05
Ba	-135	5.000000E+05
Ba	139	1.000000E+06
Ba	140	1.000000E+06
Ba	141	1.000000E+06
Ba	142	1.000000E+06
La	131	2.500000E+06
La	132	2.500000E+06
La	135	5.000000E+08
La	137	5.000000E+08
La	138	2.500000E+06
La	140	1.000000E+06
La	141	1.000000E+06
La	142	1.000000E+06
La	143	1.000000E+06
Ce	134	1.666667E+06
La	134	1.666667E+06
Ce	135	5.000000E+05
Ce	137	1.000000E+08
Ce	-137	5.000000E+05
Ce	139	2.000000E+06
Ce	141	5.000000E+05
Ce	143	1.000000E+06
Ce	144	1.250000E+06
Pr	-144	1.250000E+06
Pr	136	1.666667E+06
Pr	137	3.333333E+06
Pr	-138	1.666667E+06
Pr	139	1.000000E+07
Pr	142	1.000000E+06
Pr	-142	1.000000E+09
Pr	143	1.000000E+06
Pr	144	1.000000E+06
Pr	145	1.000000E+06
Pr	147	1.000000E+06
Nd	136	5.000000E+06
Nd	138	1.428571E+06
Pr	138	1.428571E+06
Nd	139	3.333333E+06
Nd	-139	2.000000E+06
Nd	141	2.000000E+07
Nd	147	1.000000E+06
Nd	149	5.000000E+05
Nd	151	1.000000E+06
Pm	141	2.000000E+06
Pm	143	1.428571E+08
Pm	144	2.500000E+07
Pm	145	1.000000E+08
Pm	146	2.000000E+06
Pm	147	2.000000E+06
Pm	148	1.000000E+06
Pm	-148	1.000000E+06
Pm	149	1.000000E+06
Pm	150	1.000000E+06
Pm	151	1.000000E+06
Sm	141	2.000000E+06
Sm	-141	1.111111E+06
Sm	142	1.250000E+06
Pm	142	1.250000E+06
Sm	145	5.000000E+07
Sm	146	1.000000E+09
Sm	147	1.000000E+09
Sm	151	1.000000E+09
Sm	153	1.000000E+06
Sm	155	1.000000E+06
Sm	156	1.000000E+06
Eu	145	1.666667E+07
Eu	146	1.000000E+07
