Nuklid,e_inh,e_ing,LE,LA,CA
,[Sv/Bq],[Sv/Bq],[Bq/kg],[Bq],{Bq/m^3]
,,,,,
I-134,7.90E-011,1.10E-010,9.00E+004,6.00E+007,1.00E+005
I-135,4.60E-010,9.30E-010,1.00E+004,1.00E+007,2.00E+004
Xe-122/I-122,0.00E+000,0.00E+000,0.00E+000,7.00E+007,7.00E+004
Xe-123,0.00E+000,0.00E+000,0.00E+000,1.00E+008,1.00E+005
Xe-125,0.00E+000,0.00E+000,0.00E+000,3.00E+008,3.00E+005
Xe-127,0.00E+000,0.00E+000,0.00E+000,3.00E+008,3.00E+005
Xe-129m,0.00E+000,0.00E+000,0.00E+000,4.00E+009,4.00E+006
Xe-131m,0.00E+000,0.00E+000,0.00E+000,9.00E+009,9.00E+006
Xe-133,0.00E+000,0.00E+000,0.00E+000,2.00E+009,2.00E+006
Xe-133m,0.00E+000,0.00E+000,0.00E+000,2.00E+009,2.00E+006
Xe-135,0.00E+000,0.00E+000,0.00E+000,3.00E+008,3.00E+005
Xe-135m,0.00E+000,0.00E+000,0.00E+000,2.00E+008,2.00E+005
Xe-137,0.00E+000,0.00E+000,0.00E+000,3.00E+008,3.00E+005
Xe-138,0.00E+000,0.00E+000,0.00E+000,6.00E+007,6.00E+004
,,,,,
,,,,,
Cs-125,2.30E-011,3.50E-011,3.00E+005,2.00E+008,4.00E+005
Cs-127,4.00E-011,2.40E-011,4.00E+005,1.00E+008,2.00E+005
Cs-129,8.10E-011,6.00E-011,2.00E+005,6.00E+007,1.00E+005
Cs-130,1.50E-011,2.80E-011,4.00E+005,3.00E+008,6.00E+005
Cs-131,4.50E-011,5.80E-011,2.00E+005,1.00E+008,2.00E+005
Cs-132,3.80E-010,5.00E-010,2.00E+004,1.00E+007,2.00E+004
Cs-134,9.60E-009,1.90E-008,5.00E+002,5.00E+005,9.00E+002
Cs-134m,2.60E-011,2.00E-011,5.00E+005,2.00E+008,3.00E+005
Cs-135,9.90E-010,2.00E-009,5.00E+003,5.00E+006,8.00E+003
Cs-135m,2.40E-011,1.90E-011,5.00E+005,2.00E+008,3.00E+005
Cs-136,1.90E-009,3.00E-009,3.00E+003,3.00E+006,4.00E+003
Cs-137/Ba-137m,6.70E-009,1.30E-008,8.00E+002,7.00E+005,1.00E+003
Cs-138,4.60E-011,9.20E-011,1.00E+005,1.00E+008,2.00E+005
Ba-126/Cs-126,1.20E-010,2.60E-010,4.00E+004,4.00E+007,7.00E+004
Ba-128/Cs-128,1.30E-009,2.70E-009,4.00E+003,4.00E+006,6.00E+003
Ba-131,3.50E-010,4.50E-010,2.00E+004,1.00E+007,2.00E+004
Ba-131m,6.40E-012,4.90E-012,2.00E+006,8.00E+008,1.00E+006
Ba-133,1.80E-009,1.00E-009,1.00E+004,3.00E+006,5.00E+003
Ba-133m,2.80E-010,5.50E-010,2.00E+004,2.00E+007,3.00E+004
Ba-135m,2.30E-010,4.50E-010,2.00E+004,2.00E+007,4.00E+004
Ba-139,5.50E-011,1.20E-010,8.00E+004,9.00E+007,2.00E+005
Ba-140,1.60E-009,2.50E-009,4.00E+003,3.00E+006,5.00E+003
Ba-141,3.50E-011,7.00E-011,1.00E+005,1.00E+008,2.00E+005
Ba-142,2.70E-011,3.50E-011,3.00E+005,2.00E+008,3.00E+005
La-131,3.60E-011,3.50E-011,3.00E+005,1.00E+008,2.00E+005
La-132,2.80E-010,3.90E-010,3.00E+004,2.00E+007,3.00E+004
La-135,2.50E-011,3.00E-011,3.00E+005,2.00E+008,3.00E+005
La-137,1.00E-008,8.10E-011,1.00E+005,5.00E+005,8.00E+002
,,,,,
,,,,,
La-138,1.80E-007,1.10E-009,9.00E+003,3.00E+004,5.00E+001
La-140,1.50E-009,2.00E-009,5.00E+003,3.00E+006,6.00E+003
La-141,2.20E-010,3.60E-010,3.00E+004,2.00E+007,4.00E+004
La-142,1.50E-010,1.80E-010,6.00E+004,3.00E+007,6.00E+004
La-143,3.30E-011,5.60E-011,2.00E+005,2.00E+008,3.00E+005
Ce-134/La-134,1.60E-009,2.50E-009,4.00E+003,3.00E+006,5.00E+003
Ce-135,7.60E-010,7.90E-010,1.00E+004,7.00E+006,1.00E+004
Ce-137,1.90E-011,2.50E-011,4.00E+005,3.00E+008,4.00E+005
Ce-137m,5.90E-010,5.40E-010,2.00E+004,8.00E+006,1.00E+004
Ce-139,1.40E-009,2.60E-010,4.00E+004,4.00E+006,6.00E+003
Ce-141,3.10E-009,7.10E-010,1.00E+004,2.00E+006,3.00E+003
Ce-143,1.00E-009,1.10E-009,9.00E+003,5.00E+006,8.00E+003
Ce-144/Pr-144m,2.90E-008,5.20E-009,2.00E+003,2.00E+005,3.00E+002
Pr-136,2.50E-011,3.30E-011,3.00E+005,2.00E+008,3.00E+005
Pr-137,3.50E-011,4.00E-011,3.00E+005,1.00E+008,2.00E+005
Pr-138m,1.30E-010,1.30E-010,8.00E+004,4.00E+007,6.00E+004
Pr-139,3.00E-011,3.10E-011,3.00E+005,2.00E+008,3.00E+005
Pr-142,7.40E-010,1.30E-009,8.00E+003,7.00E+006,1.00E+004
Pr-142m,9.40E-012,1.70E-011,6.00E+005,5.00E+008,9.00E+005
Pr-143,2.20E-009,1.20E-009,8.00E+003,2.00E+006,4.00E+003
Pr-144,3.00E-011,5.00E-011,2.00E+005,2.00E+008,3.00E+005
Pr-145,2.60E-010,3.90E-010,3.00E+004,2.00E+007,3.00E+004
Pr-147,3.00E-011,3.30E-011,3.00E+005,2.00E+008,3.00E+005
Nd-136,8.90E-011,9.90E-011,1.00E+005,6.00E+007,9.00E+004
Nd-138/Pr-138,3.80E-010,6.40E-010,2.00E+004,1.00E+007,2.00E+004
Nd-139,1.70E-011,2.00E-011,5.00E+005,3.00E+008,5.00E+005
Nd-139m,2.50E-010,2.50E-010,4.00E+004,2.00E+007,3.00E+004
Nd-140,2.00E-009,2.80E-009,4.00E+003,3.00E+006,4.00E+003
,,,,,
,,,,,
Nd-141,8.80E-012,8.30E-012,1.00E+006,6.00E+008,9.00E+005
Nd-147,2.10E-009,1.10E-009,9.00E+003,2.00E+006,4.00E+003
Nd-149,1.30E-010,1.20E-010,8.00E+004,4.00E+007,6.00E+004
Nd-151,2.90E-011,3.00E-011,3.00E+005,2.00E+008,3.00E+005
Pm-141,2.50E-011,3.60E-011,3.00E+005,2.00E+008,3.00E+005
Pm-143,9.60E-010,2.30E-010,4.00E+004,5.00E+006,9.00E+003
Pm-144,5.40E-009,9.70E-010,1.00E+004,9.00E+005,2.00E+003
Pm-145,2.40E-009,1.10E-010,9.00E+004,2.00E+006,3.00E+003
Pm-146,1.30E-008,9.00E-010,1.00E+004,4.00E+005,6.00E+002
Pm-147,3.50E-009,2.60E-010,4.00E+004,1.00E+006,2.00E+003
Pm-148,2.20E-009,2.70E-009,4.00E+003,2.00E+006,4.00E+003
Pm-148m,4.30E-009,1.80E-009,6.00E+003,1.00E+006,2.00E+003
Pm-149,8.20E-010,9.90E-010,1.00E+004,6.00E+006,1.00E+004
Pm-150,2.10E-010,2.60E-010,4.00E+004,2.00E+007,4.00E+004
Pm-151,6.40E-010,7.30E-010,1.00E+004,8.00E+006,1.00E+004
Sm-141,2.70E-011,3.90E-011,3.00E+005,2.00E+008,3.00E+005
Sm-141m,5.60E-011,6.50E-011,2.00E+005,9.00E+007,1.00E+005
Sm-142/Pm-142,1.10E-010,1.90E-010,5.00E+004,5.00E+007,8.00E+004
Sm-145,1.10E-009,2.10E-010,5.00E+004,5.00E+006,8.00E+003
Sm-146,6.70E-006,5.40E-008,2.00E+002,7.00E+002,1.00E+000
Sm-147,6.10E-006,4.90E-008,2.00E+002,8.00E+002,1.00E+000
Sm-151,2.60E-009,9.80E-011,1.00E+005,2.00E+006,3.00E+003
Sm-153,6.80E-010,7.40E-010,1.00E+004,7.00E+006,1.00E+004
Sm-155,2.80E-011,2.90E-011,3.00E+005,2.00E+008,3.00E+005
Sm-156,2.80E-010,2.50E-010,4.00E+004,2.00E+007,3.00E+004
Eu-145,7.30E-010,7.50E-010,1.00E+004,7.00E+006,1.00E+004
Eu-146,1.20E-009,1.30E-009,8.00E+003,4.00E+006,7.00E+003
Eu-147,1.00E-009,4.40E-010,2.00E+004,5.00E+006,8.00E+003
,,,,,
,,,,,
Eu-148,2.30E-009,1.30E-009,8.00E+003,2.00E+006,4.00E+003
Eu-149,2.30E-010,1.00E-010,1.00E+005,2.00E+007,4.00E+004
Eu-150,3.40E-008,1.30E-009,8.00E+003,1.00E+005,2.00E+002
Eu-152,2.70E-008,1.40E-009,7.00E+003,2.00E+005,3.00E+002
Eu-152m,3.20E-010,5.00E-010,2.00E+004,2.00E+007,3.00E+004
Eu-154,3.50E-008,2.00E-009,5.00E+003,1.00E+005,2.00E+002
Eu-155,4.70E-009,3.20E-010,3.00E+004,1.00E+006,2.00E+003
Eu-156,3.00E-009,2.20E-009,5.00E+003,2.00E+006,3.00E+003
Eu-157,4.40E-010,6.00E-010,2.00E+004,1.00E+007,2.00E+004
Eu-158,7.50E-011,9.40E-011,1.00E+005,7.00E+007,1.00E+005
Gd-145,3.50E-011,4.40E-011,2.00E+005,1.00E+008,2.00E+005
Gd-146,5.20E-009,9.60E-010,1.00E+004,1.00E+006,2.00E+003
Gd-147,5.90E-010,6.10E-010,2.00E+004,8.00E+006,1.00E+004
Gd-148,3.00E-005,5.50E-008,2.00E+002,2.00E+002,3.00E-001
Gd-149,7.90E-010,4.50E-010,2.00E+004,6.00E+006,1.00E+004
Gd-151,9.30E-010,2.00E-010,5.00E+004,5.00E+006,9.00E+003
Gd-152,2.20E-005,4.10E-008,2.00E+002,2.00E+002,4.00E-001
Gd-153,2.50E-009,2.70E-010,4.00E+004,2.00E+006,3.00E+003
Gd-159,3.90E-010,4.90E-010,2.00E+004,1.00E+007,2.00E+004
Tb-147,1.20E-010,1.60E-010,6.00E+004,4.00E+007,7.00E+004
Tb-149,3.10E-009,2.50E-010,4.00E+004,2.00E+006,3.00E+003
Tb-150,1.80E-010,2.50E-010,4.00E+004,3.00E+007,5.00E+004
Tb-151,3.30E-010,3.40E-010,3.00E+004,2.00E+007,3.00E+004
Tb-153,2.40E-010,2.50E-010,4.00E+004,2.00E+007,3.00E+004
Tb-154,6.00E-010,6.50E-010,2.00E+004,8.00E+006,1.00E+004
Tb-155,2.50E-010,2.10E-010,5.00E+004,2.00E+007,3.00E+004
Tb-156,1.40E-009,1.20E-009,8.00E+003,4.00E+006,6.00E+003
,,,,,
,,,,,
Tb-156m,2.30E-010,1.70E-010,6.00E+004,2.00E+007,4.00E+004
Tb-157,7.90E-010,3.40E-011,3.00E+005,6.00E+006,1.00E+004
Tb-158,3.00E-008,1.10E-009,9.00E+003,2.00E+005,3.00E+002
Tb-160,5.40E-009,1.60E-009,6.00E+003,9.00E+005,2.00E+003
Tb-161,1.20E-009,7.20E-010,1.00E+004,4.00E+006,7.00E+003
Dy-155,1.20E-010,1.30E-010,8.00E+004,4.00E+007,7.00E+004
Dy-157,5.50E-011,6.10E-011,2.00E+005,9.00E+007,2.00E+005
Dy-159,2.50E-010,1.00E-010,1.00E+005,2.00E+007,3.00E+004
Dy-165,8.70E-011,1.10E-010,9.00E+004,6.00E+007,1.00E+005
Dy-166,1.80E-009,1.60E-009,6.00E+003,3.00E+006,5.00E+003
Ho-155,3.20E-011,3.70E-011,3.00E+005,2.00E+008,3.00E+005
Ho-157,7.60E-012,6.50E-012,2.00E+006,7.00E+008,1.00E+006
Ho-159,1.00E-011,7.90E-012,1.00E+006,5.00E+008,8.00E+005
Ho-161,1.00E-011,1.30E-011,8.00E+005,5.00E+008,8.00E+005
Ho-162,4.50E-012,3.30E-012,3.00E+006,1.00E+009,2.00E+006
Ho-162m,3.30E-011,2.60E-011,4.00E+005,2.00E+008,3.00E+005
Ho-164,1.30E-011,9.50E-012,1.00E+006,4.00E+008,6.00E+005
Ho-164m,1.60E-011,1.60E-011,6.00E+005,3.00E+008,5.00E+005
Ho-166,8.30E-010,1.40E-009,7.00E+003,6.00E+006,1.00E+004
Ho-166m,7.80E-008,2.00E-009,5.00E+003,6.00E+004,1.00E+002
Ho-167,1.00E-010,8.30E-011,1.00E+005,5.00E+007,8.00E+004
Er-161,8.50E-011,8.00E-011,1.00E+005,6.00E+007,1.00E+005
Er-165,1.40E-011,1.90E-011,5.00E+005,4.00E+008,6.00E+005
Er-169,9.20E-010,3.70E-010,3.00E+004,5.00E+006,9.00E+003
Er-171,3.00E-010,3.60E-010,3.00E+004,2.00E+007,3.00E+004
Er-172,1.20E-009,1.00E-009,1.00E+004,4.00E+006,7.00E+003
Tm-162,2.70E-011,2.90E-011,3.00E+005,2.00E+008,3.00E+005
,,,,,
,,,,,
Tm-166,2.80E-010,2.80E-010,4.00E+004,2.00E+007,3.00E+004
Tm-167,1.00E-009,5.60E-010,2.00E+004,5.00E+006,8.00E+003
Tm-170,5.20E-009,1.30E-009,8.00E+003,1.00E+006,2.00E+003
Tm-171,9.10E-010,1.10E-010,9.00E+004,5.00E+006,9.00E+003
Tm-172,1.40E-009,1.70E-009,6.00E+003,4.00E+006,6.00E+003
Tm-173,2.60E-010,3.10E-010,3.00E+004,2.00E+007,3.00E+004
Tm-175,3.10E-011,2.70E-011,4.00E+005,2.00E+008,3.00E+005
Yb-162,2.30E-011,2.30E-011,4.00E+005,2.00E+008,4.00E+005
Yb-166,9.50E-010,9.50E-010,1.00E+004,5.00E+006,9.00E+003
Yb-167,9.50E-012,6.70E-012,1.00E+006,5.00E+008,9.00E+005
Yb-169,2.40E-009,7.10E-010,1.00E+004,2.00E+006,3.00E+003
Yb-175,7.00E-010,4.40E-010,2.00E+004,7.00E+006,1.00E+004
Yb-177,9.40E-011,9.70E-011,1.00E+005,5.00E+007,9.00E+004
Yb-178,1.10E-010,1.20E-010,8.00E+004,5.00E+007,8.00E+004
Lu-169,4.90E-010,4.60E-010,2.00E+004,1.00E+007,2.00E+004
Lu-170,9.50E-010,9.90E-010,1.00E+004,5.00E+006,9.00E+003
Lu-171,9.30E-010,6.70E-010,1.00E+004,5.00E+006,9.00E+003
Lu-172,1.80E-009,1.30E-009,8.00E+003,3.00E+006,5.00E+003
Lu-173,1.50E-009,2.60E-010,4.00E+004,3.00E+006,6.00E+003
Lu-174,2.90E-009,2.70E-010,4.00E+004,2.00E+006,3.00E+003
Lu-174m,2.60E-009,5.30E-010,2.00E+004,2.00E+006,3.00E+003
Lu-176,4.60E-008,1.80E-009,6.00E+003,1.00E+005,2.00E+002
Lu-176m,1.60E-010,1.70E-010,6.00E+004,3.00E+007,5.00E+004
Lu-177,1.10E-009,5.30E-010,2.00E+004,5.00E+006,8.00E+003
Lu-177m,1.20E-008,1.70E-009,6.00E+003,4.00E+005,7.00E+002
Lu-178,4.10E-011,4.70E-011,2.00E+005,1.00E+008,2.00E+005
Lu-178m,5.60E-011,3.80E-011,3.00E+005,9.00E+007,1.00E+005
Lu-179,1.60E-010,2.10E-010,5.00E+004,3.00E+007,5.00E+004
,,,,,
,,,,,
Hf-170,4.30E-010,4.80E-010,2.00E+004,1.00E+007,2.00E+004
Hf-172,3.70E-008,1.00E-009,1.00E+004,1.00E+005,2.00E+002
Hf-173,2.20E-010,2.30E-010,4.00E+004,2.00E+007,4.00E+004
Hf-175,8.80E-010,4.10E-010,2.00E+004,6.00E+006,9.00E+003
Hf-177m,1.50E-010,8.10E-011,1.00E+005,3.00E+007,6.00E+004
Hf-178m,3.10E-007,4.70E-009,2.00E+003,2.00E+004,3.00E+001
Hf-179m,3.20E-009,1.20E-009,8.00E+003,2.00E+006,3.00E+003
Hf-180m,2.00E-010,1.70E-010,6.00E+004,3.00E+007,4.00E+004
Hf-181,4.10E-009,1.10E-009,9.00E+003,1.00E+006,2.00E+003
Hf-182,3.60E-007,3.00E-009,3.00E+003,1.00E+004,2.00E+001
Hf-182m,7.10E-011,4.20E-011,2.00E+005,7.00E+007,1.00E+005
Hf-183,8.30E-011,7.30E-011,1.00E+005,6.00E+007,1.00E+005
Hf-184,4.50E-010,5.20E-010,2.00E+004,1.00E+007,2.00E+004
Ta-172,5.70E-011,5.30E-011,2.00E+005,9.00E+007,1.00E+005
Ta-173,1.60E-010,1.90E-010,5.00E+004,3.00E+007,5.00E+004
Ta-174,6.60E-011,5.70E-011,2.00E+005,8.00E+007,1.00E+005
Ta-175,2.00E-010,2.10E-010,5.00E+004,3.00E+007,4.00E+004
Ta-176,3.30E-010,3.10E-010,3.00E+004,2.00E+007,3.00E+004
Ta-177,1.30E-010,1.10E-010,9.00E+004,4.00E+007,6.00E+004
Ta-178,1.10E-010,7.80E-011,1.00E+005,5.00E+007,8.00E+004
Ta-179,2.90E-010,6.50E-011,2.00E+005,2.00E+007,3.00E+004
Ta-180,1.40E-008,8.40E-010,1.00E+004,4.00E+005,6.00E+002
Ta-180m,6.20E-011,5.40E-011,2.00E+005,8.00E+007,1.00E+005
Ta-182,7.40E-009,1.50E-009,7.00E+003,7.00E+005,1.00E+003
Ta-182m,3.60E-011,1.20E-011,8.00E+005,1.00E+008,2.00E+005
Ta-183,2.00E-009,1.30E-009,8.00E+003,3.00E+006,4.00E+003
,,,,,
,,,,,
Ta-184,6.30E-010,6.80E-010,1.00E+004,8.00E+006,1.00E+004
Ta-185,7.20E-011,6.80E-011,1.00E+005,7.00E+007,1.00E+005
Ta-186,3.10E-011,3.30E-011,3.00E+005,2.00E+008,3.00E+005
W-176,7.60E-011,1.10E-010,9.00E+004,7.00E+007,1.00E+005
W-177,4.60E-011,6.10E-011,2.00E+005,1.00E+008,2.00E+005
W-178/Ta-178,1.20E-010,2.50E-010,4.00E+004,4.00E+007,7.00E+004
W-179,1.80E-012,3.30E-012,3.00E+006,3.00E+009,5.00E+006
W-181,4.30E-011,8.20E-011,1.00E+005,1.00E+008,2.00E+005
W-185,2.20E-010,5.00E-010,2.00E+004,2.00E+007,4.00E+004
W-187,3.30E-010,7.10E-010,1.00E+004,2.00E+007,3.00E+004
W-188,8.40E-010,2.30E-009,4.00E+003,6.00E+006,1.00E+004
Re-177,2.20E-011,2.20E-011,5.00E+005,2.00E+008,4.00E+005
Re-178,2.40E-011,2.50E-011,4.00E+005,2.00E+008,3.00E+005
Re-181,3.70E-010,4.20E-010,2.00E+004,1.00E+007,2.00E+004
Re-182,1.70E-009,1.40E-009,7.00E+003,3.00E+006,5.00E+003
Re-183,1.80E-009,7.60E-010,1.00E+004,3.00E+006,5.00E+003
Re-184,1.80E-009,1.00E-009,1.00E+004,3.00E+006,5.00E+003
Re-184m,4.80E-009,1.50E-009,7.00E+003,1.00E+006,2.00E+003
Re-186,1.20E-009,1.50E-009,7.00E+003,4.00E+006,7.00E+003
Re-186m,7.90E-009,2.20E-009,5.00E+003,6.00E+005,1.00E+003
Re-187,4.60E-012,5.10E-012,2.00E+006,1.00E+009,2.00E+006
Re-188,7.40E-010,1.40E-009,7.00E+003,7.00E+006,1.00E+004
Re-188m,2.00E-011,3.00E-011,3.00E+005,3.00E+008,4.00E+005
Re-189,6.00E-010,7.80E-010,1.00E+004,8.00E+006,1.00E+004
Os-180/Re-180,2.50E-011,1.70E-011,6.00E+005,2.00E+008,3.00E+005
Os-181,1.00E-010,8.90E-011,1.00E+005,5.00E+007,8.00E+004
Os-182,5.20E-010,5.60E-010,2.00E+004,1.00E+007,2.00E+004
,,,,,
,,,,,
Os-185,1.40E-009,5.10E-010,2.00E+004,4.00E+006,6.00E+003
Os-189m,7.90E-012,1.80E-011,6.00E+005,6.00E+008,1.00E+006
Os-191,1.50E-009,5.70E-010,2.00E+004,3.00E+006,6.00E+003
Os-191m,1.40E-010,9.60E-011,1.00E+005,4.00E+007,6.00E+004
Os-193,6.80E-010,8.10E-010,1.00E+004,7.00E+006,1.00E+004
Os-194,4.20E-008,2.40E-009,4.00E+003,1.00E+005,2.00E+002
Ir-182,4.00E-011,4.80E-011,2.00E+005,1.00E+008,2.00E+005
Ir-184,1.90E-010,1.70E-010,6.00E+004,3.00E+007,4.00E+004
Ir-185,2.60E-010,2.60E-010,4.00E+004,2.00E+007,3.00E+004
Ir-186,5.00E-010,4.90E-010,2.00E+004,1.00E+007,2.00E+004
Ir-187,1.20E-010,1.20E-010,8.00E+004,4.00E+007,7.00E+004
Ir-188,6.20E-010,6.30E-010,2.00E+004,8.00E+006,1.00E+004
Ir-189,4.60E-010,2.40E-010,4.00E+004,1.00E+007,2.00E+004
Ir-190,2.50E-009,1.20E-009,8.00E+003,2.00E+006,3.00E+003
Ir-190m,1.40E-010,1.20E-010,8.00E+004,4.00E+007,6.00E+004
Ir-192,4.90E-009,1.40E-009,7.00E+003,1.00E+006,2.00E+003
Ir-192m,1.90E-008,3.10E-010,3.00E+004,3.00E+005,4.00E+002
Ir-193m,1.00E-009,2.70E-010,4.00E+004,5.00E+006,8.00E+003
Ir-194,7.50E-010,1.30E-009,8.00E+003,7.00E+006,1.00E+004
Ir-194m,8.20E-009,2.10E-009,5.00E+003,6.00E+005,1.00E+003
Ir-195,1.00E-010,1.00E-010,1.00E+005,5.00E+007,8.00E+004
Ir-195m,2.40E-010,2.10E-010,5.00E+004,2.00E+007,3.00E+004
Pt-186,6.60E-011,9.30E-011,1.00E+005,8.00E+007,1.00E+005
Pt-188,6.30E-010,7.60E-010,1.00E+004,8.00E+006,1.00E+004
Pt-189,7.30E-011,1.20E-010,8.00E+004,7.00E+007,1.00E+005
,,,,,
,,,,,
Pt-190,2.30E-007,8.20E-009,1.00E+003,2.00E+004,4.00E+001
Pt-191,1.90E-010,3.40E-010,3.00E+004,3.00E+007,4.00E+004
Pt-193,2.70E-011,3.10E-011,3.00E+005,2.00E+008,3.00E+005
Pt-193m,2.10E-010,4.50E-010,2.00E+004,2.00E+007,4.00E+004
Pt-195m,3.10E-010,6.30E-010,2.00E+004,2.00E+007,3.00E+004
Pt-197,1.60E-010,4.00E-010,3.00E+004,3.00E+007,5.00E+004
Pt-197m,4.30E-011,8.40E-011,1.00E+005,1.00E+008,2.00E+005
Pt-199,2.20E-011,3.90E-011,3.00E+005,2.00E+008,4.00E+005
Pt-200,4.00E-010,1.20E-009,8.00E+003,1.00E+007,2.00E+004
Au-193,1.60E-010,1.30E-010,8.00E+004,3.00E+007,5.00E+004
Au-194,3.80E-010,4.20E-010,2.00E+004,1.00E+007,2.00E+004
Au-195,1.20E-009,2.50E-010,4.00E+004,4.00E+006,7.00E+003
Au-196,3.70E-010,4.40E-010,2.00E+004,1.00E+007,2.00E+004
Au-198,1.10E-009,1.00E-009,1.00E+004,5.00E+006,8.00E+003
Au-198m,2.00E-009,1.30E-009,8.00E+003,3.00E+006,4.00E+003
Au-199,7.60E-010,4.40E-010,2.00E+004,7.00E+006,1.00E+004
Au-200,5.60E-011,6.80E-011,1.00E+005,9.00E+007,1.00E+005
Au-200m,1.00E-009,1.10E-009,9.00E+003,5.00E+006,8.00E+003
Au-201,2.90E-011,2.40E-011,4.00E+005,2.00E+008,3.00E+005
Hg-193,1.00E-010,8.20E-011,1.00E+005,5.00E+007,8.00E+004
Hg-193m,3.80E-010,4.00E-010,3.00E+004,1.00E+007,2.00E+004
Hg-194,1.90E-008,5.10E-008,2.00E+002,3.00E+005,4.00E+002
Hg-195,9.20E-011,9.70E-011,1.00E+005,5.00E+007,9.00E+004
Hg-195m,6.50E-010,5.60E-010,2.00E+004,8.00E+006,1.00E+004
Hg-197,2.80E-010,2.30E-010,4.00E+004,2.00E+007,3.00E+004
Hg-197m,6.60E-010,4.70E-010,2.00E+004,8.00E+006,1.00E+004
Hg-199m,5.20E-011,3.10E-011,3.00E+005,1.00E+008,2.00E+005
Hg-203,1.90E-009,1.90E-009,5.00E+003,3.00E+006,4.00E+003
,,,,,
,,,,,
Tl-194,8.90E-012,8.10E-012,1.00E+006,6.00E+008,9.00E+005
Tl-194m,3.60E-011,4.00E-011,3.00E+005,1.00E+008,2.00E+005
Tl-195,3.00E-011,2.70E-011,4.00E+005,2.00E+008,3.00E+005
Tl-197,2.70E-011,2.30E-011,4.00E+005,2.00E+008,3.00E+005
Tl-198,1.20E-010,7.30E-011,1.00E+005,4.00E+007,7.00E+004
Tl-198m,7.30E-011,5.40E-011,2.00E+005,7.00E+007,1.00E+005
Tl-199,3.70E-011,2.60E-011,4.00E+005,1.00E+008,2.00E+005
Tl-200,2.50E-010,2.00E-010,5.00E+004,2.00E+007,3.00E+004
Tl-201,7.60E-011,9.50E-011,1.00E+005,7.00E+007,1.00E+005
Tl-202,3.10E-010,4.50E-010,2.00E+004,2.00E+007,3.00E+004
Tl-204,6.20E-010,1.30E-009,8.00E+003,8.00E+006,1.00E+004
Pb-195m,3.00E-011,2.90E-011,3.00E+005,2.00E+008,3.00E+005
Pb-198,8.70E-011,1.00E-010,1.00E+005,6.00E+007,1.00E+005
Pb-199,4.80E-011,5.40E-011,2.00E+005,1.00E+008,2.00E+005
Pb-200,2.60E-010,4.00E-010,3.00E+004,2.00E+007,3.00E+004
Pb-201,1.20E-010,1.60E-010,6.00E+004,4.00E+007,7.00E+004
Pb-202,1.40E-008,8.70E-009,1.00E+003,4.00E+005,6.00E+002
Pb-202m,1.20E-010,1.30E-010,8.00E+004,4.00E+007,7.00E+004
Pb-203,1.60E-010,2.40E-010,4.00E+004,3.00E+007,5.00E+004
Pb-205,4.10E-010,2.80E-010,4.00E+004,1.00E+007,2.00E+004
Pb-209,3.20E-011,5.70E-011,2.00E+005,2.00E+008,3.00E+005
Pb-210,1.10E-006,6.80E-007,1.00E+001,5.00E+003,8.00E+000
Pb-211,5.60E-009,1.80E-010,6.00E+004,9.00E+005,1.00E+003
Pb-212,3.30E-008,5.90E-009,2.00E+003,2.00E+005,3.00E+002
Pb-214,4.80E-009,1.40E-010,7.00E+004,1.00E+006,2.00E+003
Bi-200,5.60E-011,5.10E-011,2.00E+005,9.00E+007,1.00E+005
Bi-201,1.10E-010,1.20E-010,8.00E+004,5.00E+007,8.00E+004
,,,,,
,,,,,
Bi-202,1.00E-010,8.90E-011,1.00E+005,5.00E+007,8.00E+004
Bi-203,4.50E-010,4.80E-010,2.00E+004,1.00E+007,2.00E+004
Bi-205,1.00E-009,9.00E-010,1.00E+004,5.00E+006,8.00E+003
Bi-206,2.10E-009,1.90E-009,5.00E+003,2.00E+006,4.00E+003
Bi-207,3.20E-009,1.30E-009,8.00E+003,2.00E+006,3.00E+003
Bi-208,4.00E-009,1.40E-009,7.00E+003,1.00E+006,2.00E+003
Bi-210,6.00E-008,1.30E-009,8.00E+003,8.00E+004,1.00E+002
Bi-210m,2.10E-006,1.50E-008,7.00E+002,2.00E+003,4.00E+000
"Bi-212/Po-212,Tl-208",3.90E-008,2.60E-010,4.00E+004,1.00E+005,2.00E+002
"Bi-213/Po-213,Tl-209",4.10E-008,2.00E-010,5.00E+004,1.00E+005,2.00E+002
Bi-214,2.10E-008,1.10E-010,9.00E+004,2.00E+005,4.00E+002
Po-203,6.10E-011,5.20E-011,2.00E+005,8.00E+007,1.00E+005
Po-205,8.90E-011,5.90E-011,2.00E+005,6.00E+007,9.00E+004
Po-206,3.70E-007,1.30E-007,8.00E+001,1.00E+004,2.00E+001
Po-207,1.50E-010,1.40E-010,7.00E+004,3.00E+007,6.00E+004
Po-208,2.40E-006,7.70E-007,1.00E+001,2.00E+003,3.00E+000
Po-209,2.40E-006,7.70E-007,1.00E+001,2.00E+003,3.00E+000
Po-210,2.20E-006,2.40E-007,4.00E+001,2.00E+003,4.00E+000
At-207,1.90E-009,2.30E-010,4.00E+004,3.00E+006,4.00E+003
At-211,1.10E-007,1.10E-008,9.00E+002,5.00E+004,5.00E+001
Rn-220,0.00E+000,0.00E+000,0.00E+000,0.00E+000,1.00E+003
