Nuklid,e_inh,e_ing,LE,LA,CA
,[Sv/Bq],[Sv/Bq],[Bq/kg],[Bq],{Bq/m^3]
,,,,,
Ni-63,5.20E-010,1.50E-010,7.00E+004,1.00E+007,2.00E+004
Ni-65,1.30E-010,1.80E-010,6.00E+004,4.00E+007,6.00E+004
Ni-66/Cu-66,1.90E-009,3.00E-009,3.00E+003,3.00E+006,4.00E+003
Cu-60,6.20E-011,7.00E-011,1.00E+005,8.00E+007,1.00E+005
Cu-61,1.20E-010,1.20E-010,8.00E+004,4.00E+007,7.00E+004
Cu-64,1.50E-010,1.20E-010,8.00E+004,3.00E+007,6.00E+004
Cu-67,5.80E-010,3.40E-010,3.00E+004,9.00E+006,1.00E+004
Zn-62/Cu-62,6.60E-010,9.40E-010,1.00E+004,8.00E+006,1.00E+004
Zn-63,6.10E-011,7.90E-011,1.00E+005,8.00E+007,1.00E+005
Zn-65,2.80E-009,3.90E-009,3.00E+003,2.00E+006,3.00E+003
Zn-69,4.30E-011,3.10E-011,3.00E+005,1.00E+008,2.00E+005
Zn-69m,3.30E-010,3.30E-010,3.00E+004,2.00E+007,3.00E+004
Zn-71m,2.40E-010,2.40E-010,4.00E+004,2.00E+007,3.00E+004
Zn-72,1.50E-009,1.40E-009,7.00E+003,3.00E+006,6.00E+003
Ga-65,2.90E-011,3.70E-011,3.00E+005,2.00E+008,3.00E+005
Ga-66,7.10E-010,1.20E-009,8.00E+003,7.00E+006,1.00E+004
Ga-67,2.80E-010,1.90E-010,5.00E+004,2.00E+007,3.00E+004
Ga-68,8.10E-011,1.00E-010,1.00E+005,6.00E+007,1.00E+005
,,,,,
,,,,,
Ga-70,2.60E-011,3.10E-011,3.00E+005,2.00E+008,3.00E+005
Ga-72,8.40E-010,1.10E-009,9.00E+003,6.00E+006,1.00E+004
Ga-73,2.00E-010,2.60E-010,4.00E+004,3.00E+007,4.00E+004
Ge-66,1.30E-010,1.00E-010,1.00E+005,4.00E+007,6.00E+004
Ge-67,4.20E-011,6.50E-011,2.00E+005,1.00E+008,2.00E+005
Ge-68,7.90E-009,1.30E-009,8.00E+003,6.00E+005,1.00E+003
Ge-69,3.70E-010,2.40E-010,4.00E+004,1.00E+007,2.00E+004
Ge-71,1.10E-011,1.20E-011,8.00E+005,5.00E+008,8.00E+005
Ge-75,5.40E-011,4.60E-011,2.00E+005,9.00E+007,2.00E+005
Ge-77,4.50E-010,3.30E-010,3.00E+004,1.00E+007,2.00E+004
Ge-78,1.40E-010,1.20E-010,8.00E+004,4.00E+007,6.00E+004
As-69,3.50E-011,5.70E-011,2.00E+005,1.00E+008,2.00E+005
As-70,1.20E-010,1.30E-010,8.00E+004,4.00E+007,7.00E+004
As-71,5.00E-010,4.60E-010,2.00E+004,1.00E+007,2.00E+004
As-72,1.30E-009,1.80E-009,6.00E+003,4.00E+006,6.00E+003
As-73,6.50E-010,2.60E-010,4.00E+004,8.00E+006,1.00E+004
As-74,1.80E-009,1.30E-009,8.00E+003,3.00E+006,5.00E+003
As-76,9.20E-010,1.60E-009,6.00E+003,5.00E+006,9.00E+003
As-77,4.20E-010,4.00E-010,3.00E+004,1.00E+007,2.00E+004
As-78,1.40E-010,2.10E-010,5.00E+004,4.00E+007,6.00E+004
Se-70,1.20E-010,1.40E-010,7.00E+004,4.00E+007,7.00E+004
Se-73,2.40E-010,3.90E-010,3.00E+004,2.00E+007,3.00E+004
Se-73m,2.70E-011,4.10E-011,2.00E+005,2.00E+008,3.00E+005
Se-75,1.70E-009,2.60E-009,4.00E+003,3.00E+006,5.00E+003
Se-79,3.10E-009,2.90E-009,3.00E+003,2.00E+006,3.00E+003
Se-81,2.40E-011,2.70E-011,4.00E+005,2.00E+008,3.00E+005
Se-81m,6.80E-011,5.90E-011,2.00E+005,7.00E+007,1.00E+005
Se-83,5.30E-011,5.10E-011,2.00E+005,9.00E+007,2.00E+005
,,,,,
,,,,,
Br-74,6.80E-011,8.40E-011,1.00E+005,7.00E+007,1.00E+005
Br-74m,1.10E-010,1.40E-010,7.00E+004,5.00E+007,8.00E+004
Br-75,8.50E-011,7.90E-011,1.00E+005,6.00E+007,1.00E+005
Br-76,5.80E-010,4.60E-010,2.00E+004,9.00E+006,1.00E+004
Br-77,1.30E-010,9.60E-011,1.00E+005,4.00E+007,6.00E+004
Br-80,1.70E-011,3.10E-011,3.00E+005,3.00E+008,5.00E+005
Br-80m,1.00E-010,1.10E-010,9.00E+004,5.00E+007,8.00E+004
Br-82,8.80E-010,5.40E-010,2.00E+004,6.00E+006,9.00E+003
Br-83,6.70E-011,4.30E-011,2.00E+005,7.00E+007,1.00E+005
Br-84,6.20E-011,8.80E-011,1.00E+005,8.00E+007,1.00E+005
Kr-79,0.00E+000,0.00E+000,0.00E+000,3.00E+008,3.00E+005
Kr-81,0.00E+000,0.00E+000,0.00E+000,7.00E+009,7.00E+006
Kr-83m,0.00E+000,0.00E+000,0.00E+000,1.00E+012,1.00E+009
Kr-85,0.00E+000,0.00E+000,0.00E+000,5.00E+007,5.00E+006
Kr-85m,0.00E+000,0.00E+000,0.00E+000,5.00E+008,5.00E+005
Kr-87,0.00E+000,0.00E+000,0.00E+000,8.00E+007,8.00E+004
Kr-88,0.00E+000,0.00E+000,0.00E+000,2.00E+007,2.00E+004
Kr-89,0.00E+000,0.00E+000,0.00E+000,3.00E+007,3.00E+004
Rb-79,3.00E-011,5.00E-011,2.00E+005,2.00E+008,3.00E+005
Rb-81,6.80E-011,5.40E-011,2.00E+005,7.00E+007,1.00E+005
Rb-81m,1.30E-011,9.70E-012,1.00E+006,4.00E+008,6.00E+005
Rb-82m,2.20E-010,1.30E-010,8.00E+004,2.00E+007,4.00E+004
Rb-83,1.00E-009,1.90E-009,5.00E+003,5.00E+006,8.00E+003
Rb-84,1.50E-009,2.80E-009,4.00E+003,3.00E+006,6.00E+003
Rb-86,1.30E-009,2.80E-009,4.00E+003,4.00E+006,6.00E+003
Rb-87,7.60E-010,1.50E-009,7.00E+003,7.00E+006,1.00E+004
Rb-88,2.80E-011,9.00E-011,1.00E+005,2.00E+008,3.00E+005
Rb-89,2.50E-011,4.70E-011,2.00E+005,2.00E+008,3.00E+005
,,,,,
,,,,,
